Nested Sampling Global Log-Evidence           :   -0.102622650698130971E+90  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.203798649112271946E+01    0.508159557216645852E+00
   2    0.107612052369331153E+02    0.289146600584476365E+01
   3    0.529436341295974056E+00    0.251768677782275574E+00
   4    0.246164141613888304E+00    0.284139208304200364E+00
   5    0.103784314646026621E+01    0.328316643448150203E+00
   6    0.751284803386527922E+00    0.404246951570668089E+00
   7    0.597741228010743253E+01    0.446014339281963990E+00
   8    0.947822544808325951E+01    0.902833531310231252E+00
   9    0.238759316213555328E+01    0.124104136466463566E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.127586462080202723E+01
   2    0.136956279876603855E+02
   3    0.428073461601855443E+00
   4    0.465529650939340067E+00
   5    0.119571387543034202E+00
   6    0.131011955172812655E+01
   7    0.557293349983227060E+01
   8    0.843574648924574255E+01
   9    0.211325264500700349E+01

MAP Parameters
Dim No.        Parameter
   1    0.127586462080202723E+01
   2    0.136956279876603855E+02
   3    0.428073461601855443E+00
   4    0.465529650939340067E+00
   5    0.119571387543034202E+00
   6    0.131011955172812655E+01
   7    0.557293349983227060E+01
   8    0.843574648924574255E+01
   9    0.211325264500700349E+01
