Nested Sampling Global Log-Evidence           :   -0.100000026332262871E+90  +/-    0.000000000000000000E+00

Dim No.       Mean        Sigma
   1    0.143406185734826064E+01    0.147407653258431381E-07
   2    0.107544281870163090E+02    0.824208653702666959E-07
   3    0.331824619151224853E+00    0.163753915362144351E-08
   4    0.396717091976335201E+00                         NaN
   5    0.589823623971761690E+00                         NaN
   6    0.674254433704155054E+00                         NaN
   7    0.116731531310751049E+00                         NaN
   8    0.556820432854783576E+01                         NaN
   9    0.100696646220693964E+02                         NaN
  10    0.334245963391074330E+01    0.283080025524293809E-07

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.143406185734826064E+01
   2    0.107544281870163090E+02
   3    0.331824619151224853E+00
   4    0.396717091976335201E+00
   5    0.589823623971761690E+00
   6    0.674254433704155054E+00
   7    0.116731531310751049E+00
   8    0.556820432854783576E+01
   9    0.100696646220693964E+02
  10    0.334245963391074330E+01

MAP Parameters
Dim No.        Parameter
   1    0.143406185734826064E+01
   2    0.107544281870163090E+02
   3    0.331824619151224853E+00
   4    0.396717091976335201E+00
   5    0.589823623971761690E+00
   6    0.674254433704155054E+00
   7    0.116731531310751049E+00
   8    0.556820432854783576E+01
   9    0.100696646220693964E+02
  10    0.334245963391074330E+01
