Nested Sampling Global Log-Evidence           :   -0.100000001177914957E+90  +/-    0.000000000000000000E+00

Dim No.       Mean        Sigma
   1    0.121372046293895819E+01    0.757386080476151712E-08
   2    0.135075635822078759E+02    0.781911743686551664E-07
   3    0.324374597945848164E+00                         NaN
   4    0.774259374562929759E-01                         NaN
   5   -0.497736206109817558E-01    0.292686071098979618E-09
   6    0.122196456746311100E+01    0.703858334574138525E-08
   7    0.896589474276434095E+00    0.290391857585079372E-08
   8    0.621151431794617626E+01                         NaN
   9    0.934052114328016891E+01    0.765348670653692357E-07
  10    0.126707270786280912E+00    0.463083466406271195E-09

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.121372046293895819E+01
   2    0.135075635822078759E+02
   3    0.324374597945848164E+00
   4    0.774259374562929759E-01
   5   -0.497736206109817558E-01
   6    0.122196456746311100E+01
   7    0.896589474276434095E+00
   8    0.621151431794617626E+01
   9    0.934052114328016891E+01
  10    0.126707270786280912E+00

MAP Parameters
Dim No.        Parameter
   1    0.121372046293895819E+01
   2    0.135075635822078759E+02
   3    0.324374597945848164E+00
   4    0.774259374562929759E-01
   5   -0.497736206109817558E-01
   6    0.122196456746311100E+01
   7    0.896589474276434095E+00
   8    0.621151431794617626E+01
   9    0.934052114328016891E+01
  10    0.126707270786280912E+00
