Nested Sampling Global Log-Evidence           :   -0.100000067374160653E+90  +/-    0.000000000000000000E+00

Dim No.       Mean        Sigma
   1    0.190478374435246733E+01                         NaN
   2    0.113435804290087958E+02                         NaN
   3    0.368128858860169716E+00                         NaN
   4   -0.714107357318956859E-01                         NaN
   5    0.913842840216897101E+00                         NaN
   6    0.107878803325129691E+01    0.741506509554548165E-08
   7    0.652499208311773415E+01                         NaN
   8    0.313991613855190033E+00    0.240786568094533433E-08
   9    0.145068790272678627E+01                         NaN
  10    0.541226964769059737E+00                         NaN
  11    0.589137814530942627E+01    0.533778894231655614E-07
  12    0.707629118530982471E+01    0.463502186961389889E-07
  13    0.223731363222422752E+01    0.170653190448896526E-07

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.190478374435246733E+01
   2    0.113435804290087958E+02
   3    0.368128858860169716E+00
   4   -0.714107357318956859E-01
   5    0.913842840216897101E+00
   6    0.107878803325129691E+01
   7    0.652499208311773415E+01
   8    0.313991613855190033E+00
   9    0.145068790272678627E+01
  10    0.541226964769059737E+00
  11    0.589137814530942627E+01
  12    0.707629118530982471E+01
  13    0.223731363222422752E+01

MAP Parameters
Dim No.        Parameter
   1    0.190478374435246733E+01
   2    0.113435804290087958E+02
   3    0.368128858860169716E+00
   4   -0.714107357318956859E-01
   5    0.913842840216897101E+00
   6    0.107878803325129691E+01
   7    0.652499208311773415E+01
   8    0.313991613855190033E+00
   9    0.145068790272678627E+01
  10    0.541226964769059737E+00
  11    0.589137814530942627E+01
  12    0.707629118530982471E+01
  13    0.223731363222422752E+01
