Nested Sampling Global Log-Evidence           :   -0.100000117330006012E+90  +/-    0.000000000000000000E+00

Dim No.       Mean        Sigma
   1    0.152939180069443204E+01                         NaN
   2    0.101657280576263496E+02                         NaN
   3    0.758706880452572507E+00    0.713098065879173124E-08
   4   -0.208673364677921969E+00    0.177584354999095916E-08
   5    0.783880415309285761E+00                         NaN
   6    0.348325196626914968E+00                         NaN
   7    0.526263767078588263E+01    0.331013138172830957E-07
   8    0.259432576440535745E+00    0.221242090235700150E-08
   9    0.202763372736053560E+01    0.875390491942551576E-08
  10    0.580665945070872436E+00                         NaN
  11    0.605940366041419587E+01                         NaN
  12    0.885049068035969277E+01                         NaN
  13    0.394723877241295140E+01                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.152939180069443204E+01
   2    0.101657280576263496E+02
   3    0.758706880452572507E+00
   4   -0.208673364677921969E+00
   5    0.783880415309285761E+00
   6    0.348325196626914968E+00
   7    0.526263767078588263E+01
   8    0.259432576440535745E+00
   9    0.202763372736053560E+01
  10    0.580665945070872436E+00
  11    0.605940366041419587E+01
  12    0.885049068035969277E+01
  13    0.394723877241295140E+01

MAP Parameters
Dim No.        Parameter
   1    0.152939180069443204E+01
   2    0.101657280576263496E+02
   3    0.758706880452572507E+00
   4   -0.208673364677921969E+00
   5    0.783880415309285761E+00
   6    0.348325196626914968E+00
   7    0.526263767078588263E+01
   8    0.259432576440535745E+00
   9    0.202763372736053560E+01
  10    0.580665945070872436E+00
  11    0.605940366041419587E+01
  12    0.885049068035969277E+01
  13    0.394723877241295140E+01
