READ SERR 1 2
@crab_ratio_SA70_d49.pco
!
0.254999995 4.99999523E-3 1.53231668 7.5249779E-3
0.264999986 5.00001013E-3 1.47892654 6.74658641E-3
0.275000006 4.99999523E-3 1.40867317 6.0589416E-3
0.284999996 4.99999523E-3 1.35475397 5.48212649E-3
0.295000017 5.00001013E-3 1.30692172 4.97076334E-3
0.305000007 4.99999523E-3 1.25633335 4.49081976E-3
0.314999998 4.99999523E-3 1.19624829 4.01593884E-3
0.324999988 5.00001013E-3 1.16041923 3.60015151E-3
0.335000008 4.99999523E-3 1.12642646 3.21683404E-3
0.344999999 4.99999523E-3 1.08942974 2.86329887E-3
0.355000019 5.00001013E-3 1.06119883 2.553812E-3
0.36500001 4.99999523E-3 1.04576886 2.29091081E-3
0.375 4.99999523E-3 1.02578998 2.05229572E-3
0.38499999 4.99999523E-3 1.01762724 1.85287278E-3
0.394999981 5.00001013E-3 1.00591362 1.67396455E-3
0.405000001 4.99999523E-3 1.0042069 1.52450614E-3
0.414999992 4.99999523E-3 1.00066578 1.3928538E-3
0.425000012 5.00001013E-3 0.997469723 1.27886201E-3
0.435000002 4.99999523E-3 0.997269511 1.18263904E-3
0.444999993 4.99999523E-3 0.996486783 1.10051513E-3
0.454999983 5.00001013E-3 0.99906683 1.03339856E-3
0.465000004 4.99999523E-3 1.00189984 9.7842596E-4
0.474999994 4.99999523E-3 1.00381684 9.34086333E-4
0.485000014 5.00001013E-3 1.0042398 8.99566978E-4
0.495000005 4.99999523E-3 1.00326884 8.74204037E-4
0.504999995 4.99999523E-3 1.00244486 8.57957522E-4
0.514999986 4.99999523E-3 0.998615801 8.48350639E-4
0.524999976 4.99999523E-3 0.994101405 8.44746595E-4
0.534999967 5.00002503E-3 0.986065745 8.43609101E-4
0.545000017 4.99999523E-3 0.975354254 8.42327601E-4
0.555000007 4.99999523E-3 0.96708405 8.40077526E-4
0.564999998 4.99999523E-3 0.961862862 8.34509439E-4
0.574999988 4.99999523E-3 0.955226362 8.22419359E-4
0.584999979 4.99999523E-3 0.956439793 8.08039214E-4
0.595000029 5.00002503E-3 0.959206402 7.90140301E-4
0.605000019 4.99999523E-3 0.964941442 7.7112508E-4
0.61500001 4.99999523E-3 0.973633707 7.52724824E-4
0.625 4.99999523E-3 0.980850816 7.34352099E-4
0.63499999 4.99999523E-3 0.989527702 7.18025083E-4
0.644999981 4.99999523E-3 0.997840464 7.0342602E-4
0.654999971 5.00002503E-3 1.0051831 6.90514571E-4
0.665000021 4.99999523E-3 1.01498437 6.80490921E-4
0.675000012 4.99999523E-3 1.02295876 6.71657326E-4
0.685000002 4.99999523E-3 1.02685225 6.63078274E-4
0.694999993 4.99999523E-3 1.03169119 6.56014192E-4
0.704999983 4.99999523E-3 1.03504944 6.49278227E-4
0.715000033 5.00002503E-3 1.03462517 6.41759194E-4
0.725000024 4.99999523E-3 1.03514135 6.3462049E-4
0.735000014 4.99999523E-3 1.03469312 6.2711956E-4
0.745000005 4.99999523E-3 1.03361821 6.19406987E-4
0.754999995 4.99999523E-3 1.03282702 6.11835392E-4
